,Store Number,City_x,2015 Sales,2015 Sales mean,County Number_x,Price per Liter mean_x,Zip Code_x,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 q1 Sales,2015 q1 Sales mean,2015 q1 Volume Sold (Liters),2015 q1 Volume Sold (Liters) mean,2015 q1 Margin mean,City,2016 q1 Sales,2016 q1 Sales mean,County Number,Price per Liter mean,Zip Code,2016 q1 Volume Sold (Liters),2016 q1 Volume Sold (Liters) mean,2016 q1 Margin mean,15-16 q1 Sales Growth,2016 Predicted Sales
0,2106,CEDAR FALLS,1434021.94,281.070548804,7,18.8467309958,50613,93982.72,18.4207604861,93.8022814583,337166.53,278.190206271,21815.55,17.9996287129,92.8717244224,CEDAR FALLS,337804.05,274.860903173,7.0,18.1082575846,50613,22277.95,18.1268917819,91.6704149715,637.519999999,1443708.84555
1,2113,GOWRIE,85763.42,63.0150036738,94,17.6257038491,50543,6500.83,4.77650991918,21.0824246877,22351.86,66.7219701493,1604.08,4.78829850746,22.2914925373,GOWRIE,21736.63,55.3094910941,94.0,17.6301112514,50543,1608.07,4.09178117048,18.4735368957,-615.23,104193.782935
2,2130,WATERLOO,1108184.99,280.624206128,7,17.5065986659,50703,65562.88,16.6024006077,93.6124943024,277764.46,298.671462366,16176.37,17.3939462366,99.6340752688,WATERLOO,306942.27,295.420856593,7.0,17.0467624547,50703,18172.75,17.4906159769,98.5233782483,29177.81,1312914.53853
3,2152,ROCKWELL,72080.36,50.2302160279,17,13.0435902867,50469,6164.92,4.29611149826,16.8247038328,16805.11,49.4267941176,1414.59,4.16055882353,16.5430882353,ROCKWELL,9307.75,42.6961009174,17.0,14.1943309823,50469,799.39,3.6669266055,14.3155045872,-7497.36,51519.3504633
4,2178,WAUKON,277987.96,104.389019902,3,16.5944384857,52172,21719.49,8.15602328201,35.0114570034,54411.42,100.948831169,4376.38,8.11944341373,33.8007606679,WAUKON,58939.9,98.3971619366,3.0,16.9429845555,52172,4606.64,7.6905509182,32.8869949917,4528.48,261863.752663
5,2190,DES MOINES,1228496.81,95.4913960358,77,24.2991355062,50314,64390.9,5.00512242518,31.8774372328,255939.81,83.3137402344,14065.73,4.57868815104,27.8144791667,DES MOINES,332979.03,105.707628571,77.0,26.2144565643,50314,16588.11,5.26606666667,35.2612984127,77039.22,1423260.08507
6,2191,KEOKUK,1275511.37,229.408519784,56,18.9179107896,52632,81213.53,14.60675,76.5189730216,319020.69,224.188819396,20393.82,14.3315671117,74.7883345046,KEOKUK,302592.88,203.082469799,56.0,18.9500943507,52632,19170.73,12.866261745,67.7251677852,-16427.81,1294481.5301
7,2200,SAC CITY,223899.24,57.7059896907,81,17.0451413423,50583,17291.09,4.45646649485,19.3373453608,45340.33,57.5384898477,3393.35,4.30628172589,19.2670304569,SAC CITY,55315.23,58.7834537726,81.0,16.2750891272,50583,4297.56,4.56701381509,19.6641126461,9974.9,246502.156514
8,2205,CLARINDA,230898.31,78.2440901389,73,19.3684945396,51632,14895.26,5.04752965097,26.142470349,57849.23,78.4928493894,3765.6,5.10936227951,26.1962686567,,52206.4341426,,,,,,,,-5642.79585739,233326.869806
9,2228,WINTERSET,188879.7,67.0023767293,61,17.7063626529,50273,15188.97,5.38807023767,22.4270237673,51031.04,70.8764444444,4213.4,5.85194444444,23.697625,WINTERSET,42398.57,63.2814477612,61.0,17.8955974638,50273,3492.63,5.21288059701,21.1501343284,-8632.47,191760.479474
10,2233,SPIRIT LAKE,316855.05,125.387831421,30,20.3771728036,51360,23620.75,9.34734863474,41.892132964,68657.91,118.785311419,5115.11,8.84967128028,39.68183391,SPIRIT LAKE,56241.57,116.683755187,30.0,20.5443033673,51360,4333.13,8.98989626556,38.9661410788,-12416.34,250428.047968
11,2238,ALTOONA,105128.53,199.107064394,77,22.3876127345,50009,5771.25,10.9303977273,66.4030492424,4151.93,54.6306578947,225.5,2.96710526316,18.2157894737,ALTOONA,3536.14,235.742666667,77.0,27.2831111111,50009,135.0,9.0,78.5986666667,-615.79,27058.8776613
12,2248,DES MOINES,659358.37,143.276481964,77,27.7933309215,50312,28855.5,6.27020860495,47.8693242069,121837.56,127.445146444,5604.59,5.862541841,42.6029707113,DES MOINES,137416.93,138.385629406,77.0,27.4980813908,50312,6176.85,6.22039274924,46.1685699899,15579.37,594454.703524
